week_end,week_label,market,investor,basis,sales,purchases,balance
2025-01-17,2025年1月第2週,東証グロース,金融機関,金額,1820.206,1338.956,-481.25
2025-01-17,2025年1月第2週,東証スタンダード,その他法人等,金額,1558.507,2280.446,721.939
2025-01-17,2025年1月第2週,東証スタンダード,その他金融機関,金額,127.478,27.993,-99.485
2025-01-17,2025年1月第2週,東証スタンダード,事業法人,金額,7929.605,8628.751,699.146
2025-01-17,2025年1月第2週,東証スタンダード,信託銀行,金額,9299.653,3290.755,-6008.898
2025-01-17,2025年1月第2週,東証スタンダード,個人,金額,207387.794,217030.113,9642.319
2025-01-17,2025年1月第2週,東証スタンダード,委託計,金額,482160.854,481420.26,-740.594
2025-01-17,2025年1月第2週,東証スタンダード,投資信託,金額,3665.242,3923.747,258.505
2025-01-17,2025年1月第2週,東証スタンダード,法人,金額,23066.364,18381.69,-4684.674
2025-01-17,2025年1月第2週,東証スタンダード,海外投資家,金額,247993.994,242988.978,-5005.016
2025-01-17,2025年1月第2週,東証スタンダード,生保・損保,金額,320.855,204.675,-116.18
2025-01-17,2025年1月第2週,東証スタンダード,総計,金額,512523.003,511362.265,-1160.738
2025-01-17,2025年1月第2週,東証スタンダード,自己計,金額,30362.149,29942.005,-420.144
2025-01-17,2025年1月第2週,東証スタンダード,証券会社,金額,3712.702,3019.479,-693.223
2025-01-17,2025年1月第2週,東証スタンダード,都銀・地銀等,金額,165.024,25.323,-139.701
2025-01-17,2025年1月第2週,東証スタンダード,金融機関,金額,9913.01,3548.746,-6364.264
2025-01-17,2025年1月第2週,東証プライム,その他法人等,金額,29066.294,44802.697,15736.403
2025-01-17,2025年1月第2週,東証プライム,その他金融機関,金額,42912.244,23921.949,-18990.295
2025-01-17,2025年1月第2週,東証プライム,事業法人,金額,181933.381,386230.203,204296.822
2025-01-17,2025年1月第2週,東証プライム,信託銀行,金額,369327.644,245812.132,-123515.512
2025-01-17,2025年1月第2週,東証プライム,個人,金額,3899259.781,4331653.986,432394.205
2025-01-17,2025年1月第2週,東証プライム,委託計,金額,16352632.933,16940369.019,587736.086
2025-01-17,2025年1月第2週,東証プライム,投資信託,金額,222526.114,311628.614,89102.5
2025-01-17,2025年1月第2週,東証プライム,法人,金額,904931.513,1043702.963,138771.45
2025-01-17,2025年1月第2週,東証プライム,海外投資家,金額,11483701.927,11491765.448,8063.521
2025-01-17,2025年1月第2週,東証プライム,生保・損保,金額,26718.868,22511.417,-4207.451
2025-01-17,2025年1月第2週,東証プライム,総計,金額,18672735.55,18646974.839,-25760.711
2025-01-17,2025年1月第2週,東証プライム,自己計,金額,2320102.617,1706605.82,-613496.797
2025-01-17,2025年1月第2週,東証プライム,証券会社,金額,64739.712,73246.622,8506.91
2025-01-17,2025年1月第2週,東証プライム,都銀・地銀等,金額,32446.968,8795.951,-23651.017
2025-01-17,2025年1月第2週,東証プライム,金融機関,金額,471405.724,301041.449,-170364.275
